,lat,lon,type
2006,36.89726944,127.6402,산림
2007,36.89726944,127.6402,산림
2008,36.89726944,127.6402,산림
2009,36.89726944,127.6402,산림
2010,36.89726944,127.6402,산림
2011,36.89726944,127.6402,산림
2012,36.89726944,127.6402,산림
2013,36.89726944,127.6402,산림
2014,36.89726944,127.6402,산림
2015,36.89726944,127.6402,산림
2016,36.89726944,127.6402,산림
2017,36.89726944,127.6402,산림
2018,36.89726944,127.6402,산림
2019,36.89726944,127.6402,산림
2020,36.89726944,127.6402,산림
2021,36.89726944,127.6402,산림
2022,36.89726944,127.6402,산림
2023,36.89726944,127.6402,산림
2024,36.89726944,127.6402,산림
2025,36.89726944,127.6402,산림
2026,36.89726944,127.6402,산림
2027,36.89726944,127.6402,산림
2028,36.89726944,127.6402,산림
2029,36.89726944,127.6402,산림
2030,36.90988056,127.6633528,산림
2031,36.89902222,127.6482694,산림
2032,36.89733611,127.6382111,산림
2033,36.89672778,127.6405806,산림
2034,36.89926389,127.6485667,산림
2035,36.89919444,127.6484833,산림
2036,36.93464722,127.7087222,산림
2037,36.93597778,127.7093028,산림
2038,36.93544444,127.7089639,산림
2039,36.93455278,127.708725,산림
2040,36.93452222,127.7086972,산림
2041,36.93608333,127.7095167,산림
2042,36.93456111,127.6629194,경작지
2043,36.93430278,127.6633639,경작지
2044,36.93497222,127.6632111,경작지
2045,36.93511111,127.6635833,경작지
2046,36.93455278,127.6646111,산림
2047,36.93436111,127.6643528,산림
2048,36.93428333,127.6641611,경작지
2049,36.935525,127.6641861,경작지
2050,36.93511667,127.6633028,경작지
2051,36.93506667,127.6643833,산림
2052,36.92722778,127.6552028,산림
2053,36.92906111,127.6547139,산림
2054,36.92713611,127.6542583,산림
2055,36.92716111,127.6549083,산림
2056,36.92743611,127.6548306,산림
2057,36.92773333,127.6545972,산림
2058,36.92895,127.655275,산림
2059,36.92863889,127.6544028,산림
2060,36.92764722,127.6545472,산림
2061,36.93817778,127.6552306,경작지
2062,36.98881111,127.7331944,경작지
2063,36.98965,127.7325083,경작지
2064,36.98791111,127.7311833,경작지
2065,36.98762222,127.7298583,경작지
2066,36.98756111,127.7299083,경작지
2067,36.98931944,127.7304861,산림
2068,36.98901389,127.7305778,산림
2069,36.988275,127.7307056,경작지
2070,36.9874,127.7296944,경작지
2071,36.987775,127.7289333,산림
2072,36.98746944,127.7296083,경작지
2073,36.879125,127.5076139,경작지
2074,36.93873889,127.6027944,산림
2075,36.93873889,127.6027944,산림
2076,36.93873889,127.6027944,산림
2077,36.93873889,127.6027944,산림
2078,36.93873889,127.6027944,산림
2079,36.93873889,127.6027944,산림
2080,36.93873889,127.6027944,산림
2081,36.93873889,127.6027944,산림
2082,36.93873889,127.6027944,산림
2083,36.93873889,127.6027944,산림
2084,36.93873889,127.6027944,산림
2085,36.93873889,127.6027944,산림
2086,36.93873889,127.6027944,산림
2087,36.93873889,127.6027944,산림
2088,36.93873889,127.6027944,산림
2089,36.93873889,127.6027944,산림
2090,36.93873889,127.6027944,산림
2091,36.93873889,127.6027944,산림
2092,36.93873889,127.6027944,산림
2093,36.93873889,127.6027944,산림
2094,36.93873889,127.6027944,산림
2095,36.93873889,127.6027944,산림
2096,36.93873889,127.6027944,산림
2097,36.93873889,127.6027944,산림
2098,36.93873889,127.6027944,산림
2099,36.93873889,127.6027944,산림
2100,36.93873889,127.6027944,산림
2101,36.93873889,127.6027944,산림
2102,36.93873889,127.6027944,산림
2103,36.93873889,127.6027944,산림
2104,36.93873889,127.6027944,산림
2105,36.93873889,127.6027944,산림
2106,36.93873889,127.6027944,산림
2107,36.93873889,127.6027944,산림
2108,36.93873889,127.6027944,산림
2109,36.93159722,127.6058111,산림
2110,36.92558333,127.5764167,산림
2111,36.91803056,127.5714083,산림
2112,36.92262778,127.5726889,산림
2113,36.92283611,127.5748222,산림
2114,36.92278333,127.574425,산림
2115,36.91804444,127.5714111,산림
2116,36.92166667,127.5725583,산림
2117,36.91873056,127.5716111,산림
2118,36.96991667,127.5929222,산림
2119,36.97318333,127.594675,산림
2120,36.97323056,127.5943611,산림
2121,36.97138056,127.5927361,산림
2122,36.96968611,127.59335,산림
2123,36.965125,127.5947222,산림
2124,36.96616389,127.596175,산림
2125,36.96658611,127.5963306,산림
2126,36.96848333,127.5973667,산림
2127,36.96947778,127.5974083,산림
2128,36.97152222,127.5975889,산림
2129,36.98561111,127.5590139,경작지
2130,36.98555,127.5592972,경작지
2131,36.98546111,127.5587389,경작지
2132,36.69716667,128.1811389,산림
2133,36.72858333,128.2378611,산림
2134,36.73075,128.2323611,산림
2135,36.73211111,128.2294722,경작지
2136,36.71172222,128.2383056,산림
2137,36.71947222,128.1975,산림
2138,36.71825,128.1969722,산림
2139,36.71761111,128.1927778,산림
2140,36.71016667,128.1686389,산림
2141,36.71358333,128.1783333,산림
2142,36.72233333,128.1718056,산림
2143,36.72002778,128.1439167,산림
2144,36.71597222,128.1351667,산림
2145,36.70797222,128.2336944,경작지
2146,36.67783333,128.236,산림
2147,36.66791667,128.2171667,산림
2148,36.67897222,128.2191389,경작지
2149,36.66955556,128.2292778,산림
2150,36.67977778,128.1943889,산림
2151,36.70011111,128.1860833,산림
2152,36.68533333,128.1699722,산림
2153,36.68405556,128.1678333,산림
2154,36.68238889,128.1641944,산림
2155,36.68191667,128.1608889,산림
2156,36.68594444,128.1554167,산림
