종명,접수일시,도로유형,도로명
너구리,2022-03-19,고속국도(재정),평택제천고속도로
고라니,2022-03-19,고속국도(재정),경부고속도로
고라니,2022-03-19,고속국도(재정),중부내륙고속도로
고라니,2022-03-19,고속국도(재정),당진영덕고속도로
고라니,2022-03-19,고속국도(재정),통영대전고속도로
고양이,2022-03-22,고속국도(재정),55
너구리,2022-03-22,고속국도(재정),40
고라니,2022-03-23,고속국도(재정),12
고라니,2022-03-23,고속국도(재정),37
고라니,2022-03-23,고속국도(재정),50
고라니,2022-03-24,고속국도(재정),55
꿩,2022-03-24,고속국도(재정),55
고양이,2022-03-24,고속국도(재정),55
고라니,2022-03-24,고속국도(재정),15
고양이,2022-03-25,고속국도(재정),35
담비,2022-03-26,고속국도(재정),35
미동정(포유류),2022-03-26,고속국도(재정),12
고라니,2022-03-27,고속국도(재정),60
개,2022-03-27,고속국도(재정),45
너구리,2022-03-27,고속국도(재정),30
고라니,2022-03-27,고속국도(재정),10
고라니,2022-03-27,고속국도(재정),1
고라니,2022-03-27,고속국도(재정),35
고라니,2022-03-27,고속국도(재정),55
고양이,2022-03-28,고속국도(재정),35
고라니,2022-03-29,고속국도(재정),15
고라니,2022-03-29,고속국도(재정),12
너구리,2022-03-29,고속국도(재정),15
고라니,2022-03-30,고속국도(재정),30
고라니,2022-03-30,고속국도(재정),15
고라니,2022-03-30,고속국도(재정),12
고라니,2022-03-30,고속국도(재정),25
개,2022-03-30,고속국도(재정),35
수달,2022-03-30,고속국도(재정),25
고라니,2022-03-30,고속국도(재정),52
고라니,2022-03-30,고속국도(재정),1
고라니,2022-03-31,고속국도(재정),110
고양이,2022-03-31,고속국도(재정),서울외곽순환고속도로
고양이,2022-03-31,고속국도(재정),100
고양이,2022-03-31,고속국도(재정),15
개,2022-03-31,고속국도(재정),서울외곽순환고속도로
고양이,2022-03-31,고속국도(재정),제2경인고속도로
고양이,2022-03-31,고속국도(재정),서해안고속도로
고양이,2022-04-01,고속국도(재정),1
고라니,2022-04-02,고속국도(재정),251
고라니,2022-04-02,고속국도(재정),15
고라니,2022-04-02,고속국도(재정),1
고라니,2022-04-02,고속국도(재정),30
고양이,2022-04-03,고속국도(재정),35
닭,2022-04-03,고속국도(재정),20
고라니,2022-04-04,고속국도(재정),12
너구리,2022-04-04,고속국도(재정),1
고라니,2022-04-05,고속국도(재정),65
개,2022-04-05,고속국도(재정),45
고양이,2022-04-05,고속국도(재정),25
고라니,2022-04-06,고속국도(재정),30
고양이,2022-04-06,고속국도(재정),15
개,2022-04-06,고속국도(재정),55
고라니,2022-04-07,고속국도(재정),15
고라니,2022-04-07,고속국도(재정),30
고라니,2022-04-07,고속국도(재정),50
고라니,2022-04-08,고속국도(재정),55
고라니,2022-04-08,고속국도(재정),1
고라니,2022-04-08,고속국도(재정),50
고양이,2022-04-09,고속국도(재정),1
고라니,2022-04-10,고속국도(재정),15
고라니,2022-04-10,고속국도(재정),30
고라니,2022-04-11,고속국도(재정),호남고속도로
고라니,2022-04-11,고속국도(재정),서해안고속도로
고라니,2022-04-11,고속국도(재정),중부고속도로
고라니,2022-04-11,고속국도(재정),중앙고속도로
너구리,2022-04-11,고속국도(재정),평택음성고속도로
고양이,2022-04-11,고속국도(재정),중부내륙고속도로
오소리,2022-04-11,고속국도(재정),25
고라니,2022-04-12,고속국도(재정),전주광양고속도로
고라니,2022-04-12,고속국도(재정),영동고속도로
너구리,2022-04-13,고속국도(재정),서해안고속도로
고양이,2022-04-13,고속국도(재정),10
고라니,2022-04-14,고속국도(재정),10
담비,2022-04-14,고속국도(재정),경부고속도로
고라니,2022-04-14,고속국도(재정),15
고라니,2022-04-15,고속국도(재정),영동고속도로
고라니,2022-04-15,고속국도(재정),중부내륙고속도로
고라니,2022-04-16,고속국도(재정),300
고라니,2022-04-16,고속국도(재정),광주무안고속도로
고라니,2022-04-16,고속국도(재정),중앙고속도로
고라니,2022-04-16,고속국도(재정),서해안고속도로
고라니,2022-04-16,고속국도(재정),무안-광주고속국도
고라니,2022-04-16,고속국도(재정),일반국도17호선
닭,2022-04-16,고속국도(재정),서해안고속도로
멧토끼,2022-04-17,고속국도(재정),평택제천고속도로
고라니,2022-04-17,고속국도(재정),중부고속도로
고라니,2022-04-18,고속국도(재정),경부고속도로
고라니,2022-04-18,고속국도(재정),중부고속도로
고라니,2022-04-18,고속국도(재정),서울양양고속도로
고라니,2022-04-18,고속국도(재정),광주대구고속도로
고라니,2022-04-19,고속국도(재정),경부고속도로
고라니,2022-04-19,고속국도(재정),중앙고속도로
고라니,2022-04-19,고속국도(재정),호남고속도로지선
고라니,2022-04-20,고속국도(재정),중부고속도로
고라니,2022-04-20,고속국도(재정),남해고속도로
고라니,2022-04-20,고속국도(재정),당진영덕고속도로
꿩,2022-04-20,고속국도(재정),중부고속도로
고라니,2022-04-20,고속국도(재정),경부고속도로
고양이,2022-04-21,고속국도(재정),45
고라니,2022-04-21,고속국도(재정),15
고라니,2022-04-22,고속국도(재정),35
고라니,2022-04-22,고속국도(재정),30
노루,2022-04-22,고속국도(재정),25
고라니,2022-04-23,고속국도(재정),10
고라니,2022-04-23,고속국도(재정),55
고양이,2022-04-23,고속국도(재정),300
고라니,2022-04-23,고속국도(재정),35
고라니,2022-04-23,고속국도(재정),251
고양이,2022-04-24,고속국도(재정),40
노루,2022-04-24,고속국도(재정),60
고양이,2022-04-24,고속국도(재정),55
고라니,2022-04-25,고속국도(재정),251
족제비,2022-04-25,고속국도(재정),110
고양이,2022-04-25,고속국도(재정),100
고양이,2022-04-25,고속국도(재정),110
고라니,2022-04-25,고속국도(재정),15
고라니,2022-04-25,고속국도(재정),35
고라니,2022-04-26,고속국도(재정),35
고라니,2022-04-26,고속국도(재정),1
고라니,2022-04-26,고속국도(재정),30
고양이,2022-04-27,고속국도(재정),35
고라니,2022-04-27,고속국도(재정),151
고라니,2022-04-27,고속국도(재정),35
고라니,2022-04-27,고속국도(재정),25
고라니,2022-04-27,고속국도(재정),15
개,2022-04-27,고속국도(재정),251
고라니,2022-04-27,고속국도(재정),1
고양이,2022-04-27,고속국도(재정),45
너구리,2022-04-27,고속국도(재정),35
너구리,2022-04-27,고속국도(재정),55
너구리,2022-04-27,고속국도(재정),40
개,2022-04-27,고속국도(재정),40
고라니,2022-04-28,고속국도(재정),35
고라니,2022-04-28,고속국도(재정),50
수리부엉이,2022-04-28,고속국도(재정),45
너구리,2022-04-28,고속국도(재정),15
고라니,2022-04-28,고속국도(재정),1
너구리,2022-04-28,고속국도(재정),55
고라니,2022-04-28,고속국도(재정),55
개,2022-04-28,고속국도(재정),40
고라니,2022-04-28,고속국도(재정),40
고라니,2022-04-28,고속국도(재정),45
고라니,2022-04-28,고속국도(재정),251
고라니,2022-04-29,고속국도(재정),12
오소리,2022-04-29,고속국도(재정),12
수달,2022-04-29,고속국도(재정),12
