종명,접수일시,도로유형,도로명
고라니,2022-12-31,고속국도(재정),25
고라니,2022-12-31,고속국도(재정),15
고라니,2022-12-31,고속국도(재정),35
고라니,2022-12-31,고속국도(민자),수도권제1순환고속도로
멧돼지,2022-12-31,고속국도(재정),1
고라니,2021-01-01,고속국도(재정),30
개,2021-01-01,고속국도(재정),50
고라니,2021-01-01,고속국도(재정),35
고라니,2021-01-01,고속국도(재정),1
고라니,2021-01-01,고속국도(재정),45
고라니,2021-01-02,고속국도(재정),20
고라니,2021-01-02,고속국도(재정),1
고라니,2021-01-02,고속국도(재정),15
고라니,2021-01-02,고속국도(재정),30
고라니,2021-01-02,고속국도(재정),300
미동정(포유류),2021-01-02,고속국도(재정),1
고라니,2021-01-03,고속국도(재정),확인불가
고라니,2021-01-04,고속국도(재정),12
고양이,2021-01-04,고속국도(재정),100
말똥가리,2021-01-04,고속국도(재정),60
고라니,2021-01-04,고속국도(민자),미사대로
고라니,2021-01-04,고속국도(재정),251
고라니,2021-01-04,고속국도(재정),1
고라니,2021-01-04,고속국도(재정),15
고라니,2021-01-04,고속국도(재정),50
고라니,2021-01-05,고속국도(재정),35
고라니,2021-01-05,고속국도(재정),30
고라니,2021-01-05,고속국도(재정),37
고라니,2021-01-05,고속국도(재정),1
개,2021-01-05,고속국도(재정),15
멧돼지,2021-01-06,고속국도(재정),35
고라니,2021-01-07,고속국도(재정),35
고라니,2021-01-07,고속국도(재정),55
고라니,2021-01-08,고속국도(재정),35
고라니,2021-01-08,고속국도(재정),10
고라니,2021-01-08,고속국도(재정),65
고라니,2021-01-09,고속국도(재정),1
고라니,2021-01-09,고속국도(재정),55
노루,2021-01-09,고속국도(재정),10
고라니,2021-01-09,고속국도(재정),151
미동정(포유류),2021-01-09,고속국도(재정),당진영덕고속도로
너구리,2021-01-10,고속국도(재정),55
고라니,2021-01-10,고속국도(재정),1
고라니,2021-01-10,고속국도(재정),35
고라니,2021-01-10,고속국도(재정),15
고라니,2021-01-10,고속국도(재정),20
고라니,2021-01-11,고속국도(재정),151
족제비,2021-01-11,고속국도(재정),102
고라니,2021-01-11,고속국도(재정),45
고라니,2021-01-11,고속국도(재정),50
고라니,2021-01-11,고속국도(재정),10
고라니,2021-01-11,고속국도(재정),60
고라니,2021-01-12,고속국도(재정),45
고라니,2021-01-12,고속국도(재정),15
고라니,2021-01-12,고속국도(민자),100
고라니,2021-01-13,고속국도(재정),30
멧돼지,2021-01-14,고속국도(재정),10
고라니,2021-01-14,고속국도(재정),30
고라니,2021-01-14,고속국도(재정),1
고양이,2021-01-15,고속국도(재정),12
고라니,2021-01-15,고속국도(재정),55
고라니,2021-01-15,고속국도(재정),50
고라니,2021-01-19,고속국도(재정),27
담비,2021-01-20,고속국도(재정),호남고속도로
고라니,2021-01-20,고속국도(재정),35
고라니,2021-01-22,고속국도(재정),10
고라니,2021-01-22,고속국도(재정),35
멧돼지,2021-01-23,고속국도(재정),55
고양이,2021-01-23,고속국도(재정),35
너구리,2021-01-23,고속국도(재정),35
수달,2021-01-23,고속국도(재정),45
너구리,2021-01-23,고속국도(재정),55
고라니,2021-01-24,고속국도(재정),251
너구리,2021-01-24,고속국도(민자),100
고라니,2021-01-24,고속국도(민자),100
고양이,2021-01-25,고속국도(민자),34
고라니,2021-01-25,고속국도(재정),55
고양이,2021-01-26,고속국도(재정),120
멧돼지,2021-01-27,고속국도(재정),251
꿩,2021-01-27,고속국도(재정),45
고라니,2021-01-29,고속국도(재정),10
고라니,2021-02-01,고속국도(재정),55
고라니,2021-02-02,고속국도(재정),55
개,2021-02-02,고속국도(재정),55
고라니,2021-02-02,고속국도(재정),100
멧돼지,2021-02-02,고속국도(재정),12
고양이,2021-02-02,고속국도(재정),확인불가
고양이,2021-02-03,고속국도(재정),100
오소리,2021-02-03,고속국도(재정),1
고양이,2021-02-03,고속국도(재정),확인불가
고양이,2021-02-04,고속국도(민자),100
고양이,2021-02-04,고속국도(재정),서울외곽순환고속도로
미동정(조류),2021-02-04,고속국도(재정),100
고라니,2021-02-04,고속국도(재정),55
너구리,2021-02-05,고속국도(재정),1
고양이,2021-02-05,고속국도(재정),1
너구리,2021-02-05,고속국도(재정),45
고양이,2021-02-06,고속국도(재정),35
고라니,2021-02-06,고속국도(재정),1
고양이,2021-02-06,고속국도(재정),12
고라니,2021-02-06,고속국도(재정),55
개,2021-02-07,고속국도(재정),55
고라니,2021-02-07,고속국도(재정),10
미동정(포유류),2021-02-07,고속국도(재정),55
고라니,2021-02-08,고속국도(재정),45
고라니,2021-02-08,고속국도(재정),55
너구리,2021-02-08,고속국도(재정),12
고라니,2021-02-09,고속국도(재정),15
고양이,2021-02-10,고속국도(재정),300
고라니,2021-02-11,고속국도(재정),12
고라니,2021-02-11,고속국도(재정),15
고라니,2021-02-12,고속국도(재정),30
고라니,2021-02-12,고속국도(재정),20
멧토끼,2021-02-12,고속국도(재정),1
고양이,2021-02-12,고속국도(재정),104
고라니,2021-02-13,고속국도(재정),12
고라니,2021-02-13,고속국도(재정),65
고양이,2021-02-14,고속국도(재정),50
고라니,2021-02-14,고속국도(재정),12
고라니,2021-02-16,고속국도(재정),251
너구리,2021-02-17,고속국도(재정),60
너구리,2021-02-19,고속국도(재정),55
고라니,2021-02-21,고속국도(재정),35
고라니,2021-02-21,고속국도(재정),1
고양이,2021-02-21,고속국도(재정),35
고양이,2021-02-22,고속국도(재정),45
너구리,2021-02-22,고속국도(재정),35
고라니,2021-02-22,고속국도(재정),12
닭,2021-02-22,고속국도(재정),153
개,2021-02-22,고속국도(재정),10
개,2021-02-23,고속국도(재정),35
고양이,2021-02-23,고속국도(재정),10
고라니,2021-02-23,고속국도(재정),10
고라니,2021-02-24,고속국도(재정),10
고양이,2021-02-24,고속국도(민자),17
고라니,2021-02-25,고속국도(재정),30
고라니,2021-02-26,고속국도(재정),35
수달,2021-02-26,고속국도(재정),10
고라니,2021-02-27,고속국도(재정),55
고양이,2021-02-27,고속국도(재정),1
고라니,2021-02-27,고속국도(재정),12
고라니,2021-02-27,고속국도(재정),30
고양이,2021-02-28,고속국도(재정),100
고양이,2021-03-02,고속국도(재정),35
고라니,2021-03-02,고속국도(재정),12
고양이,2021-03-04,고속국도(재정),120
고라니,2021-03-06,고속국도(재정),251
고양이,2021-03-06,고속국도(재정),35
개,2021-03-07,고속국도(재정),1
개,2021-03-07,고속국도(재정),300
고라니,2021-03-08,고속국도(재정),251
노루,2021-03-09,고속국도(재정),40
고라니,2021-03-09,고속국도(재정),40
고양이,2021-03-10,고속국도(재정),35
고라니,2021-03-10,고속국도(재정),151
고라니,2021-03-11,고속국도(재정),55
꿩,2021-03-11,고속국도(재정),35
고라니,2021-03-11,고속국도(재정),15
수달,2021-03-12,고속국도(재정),10
멧돼지,2021-03-12,고속국도(재정),1
고양이,2021-03-12,고속국도(재정),6
고라니,2021-03-12,고속국도(재정),55
고양이,2021-03-13,고속국도(재정),55
고라니,2021-03-13,고속국도(재정),55
개,2021-03-14,고속국도(재정),45
고라니,2021-03-14,고속국도(재정),27
고라니,2021-03-14,고속국도(재정),30
너구리,2021-03-15,고속국도(재정),15
삵,2021-03-17,고속국도(재정),15
고라니,2021-03-17,고속국도(재정),15
고라니,2021-03-17,고속국도(재정),40
멧돼지,2021-03-17,고속국도(재정),55
고라니,2021-03-17,고속국도(재정),52
고양이,2021-03-18,고속국도(재정),55
까치,2021-03-18,고속국도(재정),102
멧돼지,2021-03-19,고속국도(재정),35
고라니,2021-03-20,고속국도(재정),20
수달,2021-03-20,고속국도(재정),12
고라니,2021-03-22,고속국도(재정),25
개,2021-03-22,고속국도(재정),40
고라니,2021-03-24,고속국도(재정),30
고양이,2021-03-24,고속국도(재정),104
고라니,2021-03-25,고속국도(재정),45
족제비,2021-03-25,고속국도(재정),1
고라니,2021-03-25,고속국도(재정),1
멧돼지,2021-03-26,고속국도(재정),55
너구리,2021-03-26,고속국도(재정),10
고라니,2021-03-26,고속국도(재정),25
고라니,2021-03-27,고속국도(재정),55
개,2021-03-28,고속국도(재정),35
고라니,2021-03-28,고속국도(재정),451
너구리,2021-03-28,고속국도(민자),12
개,2021-03-29,고속국도(재정),37
고양이,2021-03-29,고속국도(재정),35
고양이,2021-03-29,고속국도(재정),40
고라니,2021-03-29,고속국도(재정),25
고라니,2021-03-30,고속국도(재정),15
족제비,2021-03-30,고속국도(재정),1
고라니,2021-03-30,고속국도(재정),30
고양이,2021-03-30,고속국도(재정),100
개,2021-03-31,고속국도(재정),40
고양이,2021-03-31,고속국도(재정),40
고라니,2021-03-31,고속국도(재정),10
개,2021-03-31,고속국도(재정),10
고라니,2021-03-31,고속국도(재정),55
고라니,2021-04-01,고속국도(재정),251
고양이,2021-04-01,고속국도(재정),1
고양이,2021-04-01,고속국도(재정),50
고라니,2021-04-03,고속국도(재정),16
고라니,2021-04-03,고속국도(재정),당진영덕고속도로
고라니,2021-04-03,고속국도(재정),15
고라니,2021-04-03,고속국도(재정),확인불가
고라니,2021-04-04,고속국도(재정),15
고라니,2021-04-04,고속국도(재정),100
멧돼지,2021-04-04,고속국도(재정),55
너구리,2021-04-04,고속국도(재정),37
닭,2021-04-04,고속국도(재정),1
너구리,2021-04-05,고속국도(재정),65
고라니,2021-04-05,고속국도(재정),1
고라니,2021-04-05,고속국도(재정),55
미동정(포유류),2021-04-05,고속국도(재정),1
너구리,2021-04-06,고속국도(재정),30
고라니,2021-04-06,고속국도(재정),30
고양이,2021-04-06,고속국도(재정),35
고라니,2021-04-07,고속국도(재정),65
고라니,2021-04-07,고속국도(재정),15
멧돼지,2021-04-07,고속국도(재정),55
고라니,2021-04-07,고속국도(재정),10
고라니,2021-04-08,고속국도(재정),35
고양이,2021-04-08,고속국도(재정),30
미동정(조류),2021-04-08,고속국도(재정),45
고라니,2021-04-09,고속국도(재정),15
고라니,2021-04-09,고속국도(재정),30
고라니,2021-04-10,고속국도(재정),45
오소리,2021-04-10,고속국도(재정),12
멧돼지,2021-04-10,고속국도(재정),15
고라니,2021-04-11,고속국도(재정),151
고라니,2021-04-11,고속국도(재정),16
고라니,2021-04-11,고속국도(재정),25
고라니,2021-04-12,고속국도(재정),65
고양이,2021-04-12,고속국도(민자),100
고라니,2021-04-12,고속국도(재정),25
멧돼지,2021-04-12,고속국도(재정),65
고라니,2021-04-12,고속국도(재정),15
고라니,2021-04-14,고속국도(민자),151
고라니,2021-04-14,고속국도(재정),27
고양이,2021-04-14,고속국도(재정),55
고라니,2021-04-14,고속국도(재정),15
고라니,2021-04-15,고속국도(재정),15
종다리,2021-04-15,고속국도(재정),10
고라니,2021-04-16,고속국도(재정),55
고라니,2021-04-16,고속국도(재정),12
고라니,2021-04-16,고속국도(재정),1
고라니,2021-04-17,고속국도(재정),300
고라니,2021-04-17,고속국도(재정),35
고라니,2021-04-17,고속국도(재정),1
고라니,2021-04-17,고속국도(재정),251
고라니,2021-04-17,고속국도(재정),15
고라니,2021-04-18,고속국도(재정),55
고라니,2021-04-18,고속국도(재정),251
오소리,2021-04-18,고속국도(재정),37
고라니,2021-04-18,고속국도(재정),1
고라니,2021-04-18,고속국도(재정),15
염소,2021-04-18,고속국도(재정),10
멧돼지,2021-04-19,고속국도(재정),15
미동정(포유류),2021-04-19,고속국도(재정),30
고라니,2021-04-19,고속국도(재정),30
고양이,2021-04-19,고속국도(재정),55
고라니,2021-04-19,고속국도(재정),12
고라니,2021-04-19,고속국도(재정),55
고라니,2021-04-20,고속국도(재정),1
고라니,2021-04-20,고속국도(재정),15
너구리,2021-04-20,고속국도(재정),15
고라니,2021-04-20,고속국도(재정),12
고라니,2021-04-21,고속국도(재정),15
고라니,2021-04-21,고속국도(재정),55
고라니,2021-04-21,고속국도(재정),65
고라니,2021-04-22,고속국도(재정),35
고라니,2021-04-22,고속국도(재정),151
고라니,2021-04-22,고속국도(재정),1
고라니,2021-04-22,고속국도(재정),55
고라니,2021-04-22,고속국도(재정),251
고라니,2021-04-23,고속국도(재정),10
고라니,2021-04-23,고속국도(재정),15
고양이,2021-04-23,고속국도(재정),55
고라니,2021-04-24,고속국도(재정),102
고라니,2021-04-24,고속국도(재정),16
고라니,2021-04-24,고속국도(재정),40
너구리,2021-04-24,고속국도(재정),55
고라니,2021-04-24,고속국도(재정),30
고라니,2021-04-25,고속국도(재정),55
너구리,2021-04-25,고속국도(재정),30
고라니,2021-04-25,고속국도(재정),15
고라니,2021-04-25,고속국도(재정),1
고라니,2021-04-25,고속국도(재정),35
사슴,2021-04-25,고속국도(재정),15
고라니,2021-04-26,고속국도(재정),12
고라니,2021-04-26,고속국도(재정),45
고라니,2021-04-26,고속국도(재정),10
개,2021-04-27,고속국도(재정),50
고라니,2021-04-27,고속국도(재정),1
고라니,2021-04-27,고속국도(재정),35
고라니,2021-04-27,고속국도(재정),30
고라니,2021-04-27,고속국도(재정),55
고라니,2021-04-27,고속국도(재정),10
고양이,2021-04-28,고속국도(재정),35
너구리,2021-04-28,고속국도(재정),1
고라니,2021-04-28,고속국도(재정),30
고라니,2021-04-28,고속국도(재정),15
미동정(포유류),2021-04-28,고속국도(재정),15
고양이,2021-04-28,고속국도(재정),40
미동정(포유류),2021-04-28,고속국도(재정),40
고라니,2021-04-28,고속국도(재정),45
너구리,2021-04-28,고속국도(재정),45
고라니,2021-04-29,고속국도(재정),15
고라니,2021-04-29,고속국도(재정),104
고라니,2021-04-29,고속국도(재정),12
고라니,2021-04-30,고속국도(재정),55
미동정(포유류),2021-04-30,고속국도(재정),55
고라니,2021-05-01,고속국도(재정),251
고양이,2021-05-01,고속국도(재정),65
고라니,2021-05-01,고속국도(재정),15
고라니,2021-05-01,고속국도(재정),27
고라니,2021-05-01,고속국도(재정),12
고라니,2021-05-01,고속국도(재정),65
고라니,2021-05-01,고속국도(재정),55
고라니,2021-05-01,고속국도(재정),50
고라니,2021-05-01,고속국도(재정),35
노루,2021-05-02,고속국도(재정),55
고라니,2021-05-02,고속국도(재정),1
고라니,2021-05-02,고속국도(재정),55
고라니,2021-05-02,고속국도(재정),151
꿩,2021-05-02,고속국도(재정),65
고라니,2021-05-02,고속국도(재정),15
고라니,2021-05-02,고속국도(재정),251
고라니,2021-05-02,고속국도(재정),12
개,2021-05-02,고속국도(재정),1
고라니,2021-05-03,고속국도(재정),12
미동정(포유류),2021-05-03,고속국도(재정),30
고라니,2021-05-03,고속국도(재정),30
개,2021-05-03,고속국도(민자),1
고라니,2021-05-03,고속국도(재정),35
미동정(포유류),2021-05-03,고속국도(재정),1
고라니,2021-05-03,고속국도(재정),15
고라니,2021-05-03,고속국도(재정),25
고라니,2021-05-04,고속국도(재정),45
고양이,2021-05-05,고속국도(재정),55
고라니,2021-05-05,고속국도(재정),50
고라니,2021-05-05,고속국도(재정),15
고라니,2021-05-05,고속국도(재정),151
개,2021-05-05,고속국도(재정),12
고라니,2021-05-05,고속국도(재정),30
너구리,2021-05-06,고속국도(재정),12
고라니,2021-05-06,고속국도(재정),15
고라니,2021-05-06,고속국도(재정),50
고라니,2021-05-06,고속국도(재정),1
노루,2021-05-06,고속국도(재정),65
고라니,2021-05-07,고속국도(재정),35
오소리,2021-05-07,고속국도(재정),15
고라니,2021-05-07,고속국도(재정),15
고라니,2021-05-07,고속국도(재정),1
고라니,2021-05-07,고속국도(재정),55
고라니,2021-05-07,고속국도(재정),12
고라니,2021-05-08,고속국도(재정),45
고라니,2021-05-08,고속국도(재정),35
고양이,2021-05-08,고속국도(재정),300
고라니,2021-05-08,고속국도(재정),55
고라니,2021-05-08,고속국도(재정),15
고라니,2021-05-09,고속국도(재정),15
고라니,2021-05-09,고속국도(재정),1
고라니,2021-05-09,고속국도(재정),35
미동정(포유류),2021-05-09,고속국도(재정),30
고라니,2021-05-09,고속국도(재정),55
고라니,2021-05-09,고속국도(재정),12
고라니,2021-05-09,고속국도(재정),151
고라니,2021-05-10,고속국도(재정),65
고라니,2021-05-10,고속국도(재정),15
오소리,2021-05-10,고속국도(재정),15
고라니,2021-05-10,고속국도(재정),1
고라니,2021-05-10,고속국도(재정),151
고라니,2021-05-10,고속국도(재정),30
고라니,2021-05-11,고속국도(재정),15
고라니,2021-05-11,고속국도(재정),35
고라니,2021-05-11,고속국도(재정),151
노루,2021-05-11,고속국도(재정),65
고라니,2021-05-12,고속국도(재정),55
고라니,2021-05-12,고속국도(재정),37
고라니,2021-05-12,고속국도(재정),1
고라니,2021-05-12,고속국도(민자),100
고라니,2021-05-13,고속국도(재정),30
고라니,2021-05-13,고속국도(재정),65
고라니,2021-05-13,고속국도(재정),1
고라니,2021-05-13,고속국도(재정),15
고라니,2021-05-13,고속국도(재정),55
고라니,2021-05-14,고속국도(재정),151
고라니,2021-05-14,고속국도(재정),45
고라니,2021-05-14,고속국도(재정),35
고라니,2021-05-14,고속국도(재정),1
고라니,2021-05-14,고속국도(재정),12
개,2021-05-14,고속국도(재정),45
개,2021-05-14,고속국도(재정),37
고라니,2021-05-14,고속국도(재정),30
고라니,2021-05-14,고속국도(재정),55
고양이,2021-05-15,고속국도(재정),1
멧돼지,2021-05-15,고속국도(재정),55
고라니,2021-05-15,고속국도(재정),40
고라니,2021-05-15,고속국도(재정),35
고라니,2021-05-15,고속국도(재정),15
고라니,2021-05-15,고속국도(재정),1
고라니,2021-05-16,고속국도(재정),35
고라니,2021-05-16,고속국도(재정),1
고라니,2021-05-16,고속국도(재정),153
고라니,2021-05-16,고속국도(재정),55
고라니,2021-05-16,고속국도(재정),15
고라니,2021-05-17,고속국도(재정),35
고라니,2021-05-17,고속국도(재정),14
고라니,2021-05-17,고속국도(재정),15
고라니,2021-05-17,고속국도(재정),12
고라니,2021-05-18,고속국도(재정),15
고라니,2021-05-18,고속국도(재정),65
고라니,2021-05-18,고속국도(재정),27
고라니,2021-05-18,고속국도(재정),20
고라니,2021-05-18,고속국도(재정),30
고라니,2021-05-19,고속국도(재정),12
고라니,2021-05-19,고속국도(재정),15
고라니,2021-05-19,고속국도(재정),37
고라니,2021-05-19,고속국도(재정),55
고라니,2021-05-20,고속국도(재정),50
고라니,2021-05-20,고속국도(재정),151
오소리,2021-05-20,고속국도(재정),30
고라니,2021-05-20,고속국도(재정),30
고라니,2021-05-20,고속국도(재정),55
고라니,2021-05-20,고속국도(재정),35
고라니,2021-05-21,고속국도(재정),37
고라니,2021-05-21,고속국도(재정),55
고라니,2021-05-21,고속국도(재정),35
고라니,2021-05-21,고속국도(재정),15
고라니,2021-05-22,고속국도(재정),15
꿩,2021-05-22,고속국도(재정),45
고라니,2021-05-22,고속국도(재정),45
고양이,2021-05-22,고속국도(재정),50
고라니,2021-05-22,고속국도(재정),25
고라니,2021-05-22,고속국도(재정),1
고라니,2021-05-22,고속국도(재정),30
고라니,2021-05-22,고속국도(재정),37
고라니,2021-05-22,고속국도(재정),153
고라니,2021-05-23,고속국도(재정),35
고라니,2021-05-23,고속국도(재정),1
고라니,2021-05-23,고속국도(재정),50
수달,2021-05-23,고속국도(재정),15
고라니,2021-05-23,고속국도(재정),55
고라니,2021-05-23,고속국도(재정),30
멧돼지,2021-05-23,고속국도(재정),1
고양이,2021-05-24,고속국도(민자),120
개,2021-05-24,고속국도(재정),60
고라니,2021-05-24,고속국도(재정),35
고라니,2021-05-24,고속국도(재정),65
고라니,2021-05-24,고속국도(재정),12
고라니,2021-05-24,고속국도(재정),30
고라니,2021-05-25,고속국도(재정),30
고라니,2021-05-25,고속국도(재정),55
고라니,2021-05-25,고속국도(재정),16
고라니,2021-05-26,고속국도(재정),45
너구리,2021-05-26,고속국도(재정),45
고라니,2021-05-26,고속국도(재정),65
고라니,2021-05-26,고속국도(재정),35
고라니,2021-05-26,고속국도(재정),1
고라니,2021-05-26,고속국도(재정),55
고라니,2021-05-27,고속국도(재정),27
고라니,2021-05-27,고속국도(재정),15
고라니,2021-05-27,고속국도(재정),35
고라니,2021-05-27,고속국도(재정),55
고라니,2021-05-28,고속국도(재정),1
고라니,2021-05-28,고속국도(재정),15
고라니,2021-05-28,고속국도(재정),27
고라니,2021-05-28,고속국도(재정),10
고라니,2021-05-28,고속국도(재정),12
고라니,2021-05-29,고속국도(재정),15
고라니,2021-05-29,고속국도(재정),30
고라니,2021-05-29,고속국도(재정),35
수달,2021-05-29,고속국도(재정),12
고라니,2021-05-30,고속국도(재정),1
고라니,2021-05-30,고속국도(재정),35
고라니,2021-05-30,고속국도(재정),30
고라니,2021-05-30,고속국도(재정),15
고라니,2021-05-30,고속국도(재정),45
고라니,2021-05-30,고속국도(재정),300
고라니,2021-05-31,고속국도(재정),30
고라니,2021-05-31,고속국도(재정),300
고라니,2021-05-31,고속국도(재정),55
고라니,2021-05-31,고속국도(재정),1
고라니,2021-06-01,고속국도(재정),60
고라니,2021-06-01,고속국도(재정),10
고라니,2021-06-01,고속국도(재정),35
고라니,2021-06-01,고속국도(재정),1
오소리,2021-06-01,고속국도(재정),45
오소리,2021-06-02,고속국도(재정),45
오소리,2021-06-02,고속국도(재정),10
고라니,2021-06-02,고속국도(재정),12
고라니,2021-06-02,고속국도(재정),251
미동정(포유류),2021-06-02,고속국도(재정),35
오소리,2021-06-02,고속국도(재정),12
너구리,2021-06-02,고속국도(재정),55
고라니,2021-06-03,고속국도(재정),100
고라니,2021-06-03,고속국도(재정),15
고라니,2021-06-04,고속국도(재정),55
고라니,2021-06-04,고속국도(재정),45
고라니,2021-06-04,고속국도(재정),15
고라니,2021-06-04,고속국도(재정),151
고라니,2021-06-05,고속국도(재정),151
고라니,2021-06-05,고속국도(재정),12
고라니,2021-06-05,고속국도(재정),45
고라니,2021-06-05,고속국도(재정),35
고라니,2021-06-05,고속국도(재정),15
오소리,2021-06-06,고속국도(재정),55
개,2021-06-06,고속국도(재정),50
오소리,2021-06-06,고속국도(재정),35
고라니,2021-06-06,고속국도(재정),1
고라니,2021-06-07,고속국도(재정),25
고라니,2021-06-07,고속국도(재정),30
고라니,2021-06-07,고속국도(재정),35
오소리,2021-06-08,고속국도(재정),65
고라니,2021-06-08,고속국도(재정),30
고라니,2021-06-08,고속국도(민자),확인불가
고라니,2021-06-09,고속국도(재정),1
고라니,2021-06-09,고속국도(재정),60
오소리,2021-06-09,고속국도(재정),55
오소리,2021-06-09,고속국도(재정),25
고라니,2021-06-09,고속국도(재정),35
고라니,2021-06-10,고속국도(재정),15
고라니,2021-06-10,고속국도(재정),1
고라니,2021-06-10,고속국도(재정),37
고라니,2021-06-11,고속국도(재정),15
고라니,2021-06-11,고속국도(재정),40
고라니,2021-06-12,고속국도(재정),1
고라니,2021-06-12,고속국도(재정),15
고라니,2021-06-12,고속국도(재정),45
고라니,2021-06-13,고속국도(재정),55
고라니,2021-06-13,고속국도(재정),25
고라니,2021-06-13,고속국도(재정),37
고라니,2021-06-13,고속국도(재정),1
멧돼지,2021-06-13,고속국도(재정),15
고라니,2021-06-13,고속국도(재정),15
너구리,2021-06-14,고속국도(재정),30
오소리,2021-06-14,고속국도(재정),30
고라니,2021-06-14,고속국도(재정),1
고라니,2021-06-14,고속국도(재정),55
고라니,2021-06-14,고속국도(재정),45
고라니,2021-06-15,고속국도(재정),55
고라니,2021-06-15,고속국도(재정),153
고라니,2021-06-15,고속국도(재정),30
수리부엉이,2021-06-15,고속국도(재정),55
고라니,2021-06-16,고속국도(재정),30
너구리,2021-06-17,고속국도(재정),50
개,2021-06-17,고속국도(재정),45
고라니,2021-06-17,고속국도(재정),55
고라니,2021-06-17,고속국도(재정),12
고라니,2021-06-18,고속국도(재정),1
고라니,2021-06-18,고속국도(재정),55
고라니,2021-06-18,고속국도(재정),151
고라니,2021-06-19,고속국도(재정),55
노루,2021-06-19,고속국도(재정),45
고라니,2021-06-19,고속국도(재정),1
고라니,2021-06-20,고속국도(재정),30
고라니,2021-06-20,고속국도(재정),35
고라니,2021-06-21,고속국도(재정),251
고라니,2021-06-21,고속국도(재정),1
고라니,2021-06-21,고속국도(재정),55
고라니,2021-06-21,고속국도(재정),37
고라니,2021-06-22,고속국도(재정),1
고라니,2021-06-22,고속국도(재정),15
개,2021-06-22,고속국도(재정),45
고라니,2021-06-22,고속국도(재정),45
미동정(조류),2021-06-22,고속국도(재정),45
고라니,2021-06-22,고속국도(재정),27
고라니,2021-06-22,고속국도(재정),35
고라니,2021-06-23,고속국도(재정),45
고라니,2021-06-23,고속국도(재정),40
고라니,2021-06-24,고속국도(재정),55
고라니,2021-06-24,고속국도(재정),1
고라니,2021-06-24,고속국도(재정),35
너구리,2021-06-24,고속국도(재정),45
미동정(포유류),2021-06-24,고속국도(재정),10
노루,2021-06-24,고속국도(민자),1
오소리,2021-06-24,고속국도(재정),45
너구리,2021-06-24,고속국도(재정),15
고라니,2021-06-24,고속국도(재정),15
고라니,2021-06-24,고속국도(재정),45
고라니,2021-06-25,고속국도(재정),55
고라니,2021-06-26,고속국도(재정),25
고라니,2021-06-26,고속국도(재정),35
너구리,2021-06-26,고속국도(재정),12
고라니,2021-06-26,고속국도(재정),12
고라니,2021-06-27,고속국도(재정),50
고라니,2021-06-27,고속국도(재정),1
고라니,2021-06-27,고속국도(재정),35
고라니,2021-06-27,고속국도(재정),15
고라니,2021-06-27,고속국도(재정),30
고라니,2021-06-28,고속국도(재정),50
고라니,2021-06-28,고속국도(재정),65
고라니,2021-06-28,고속국도(재정),151
고라니,2021-06-28,고속국도(재정),45
고라니,2021-06-28,고속국도(재정),251
고라니,2021-06-28,고속국도(재정),15
고라니,2021-06-29,고속국도(재정),10
고라니,2021-06-29,고속국도(재정),1
고양이,2021-06-29,고속국도(재정),10
고라니,2021-06-29,고속국도(재정),35
멧돼지,2021-06-30,고속국도(재정),55
고라니,2021-06-30,고속국도(재정),30
너구리,2021-06-30,고속국도(재정),1
너구리,2021-06-30,고속국도(재정),37
미동정(조류),2021-06-30,고속국도(재정),40
고라니,2021-06-30,고속국도(재정),40
너구리,2021-06-30,고속국도(재정),40
고라니,2021-06-30,고속국도(재정),35
고라니,2021-07-01,고속국도(재정),55
고라니,2021-07-01,고속국도(재정),15
오소리,2021-07-01,고속국도(재정),45
고라니,2021-07-01,고속국도(재정),60
고라니,2021-07-01,고속국도(재정),45
노루,2021-07-01,고속국도(재정),60
고라니,2021-07-02,고속국도(재정),50
고라니,2021-07-02,고속국도(재정),102
고라니,2021-07-02,고속국도(재정),35
오소리,2021-07-02,고속국도(재정),12
고라니,2021-07-02,고속국도(재정),55
고라니,2021-07-03,고속국도(재정),15
멧돼지,2021-07-03,고속국도(재정),55
너구리,2021-07-04,고속국도(재정),15
고양이,2021-07-05,고속국도(재정),35
너구리,2021-07-05,고속국도(재정),55
오소리,2021-07-05,고속국도(재정),12
고라니,2021-07-05,고속국도(재정),15
고라니,2021-07-05,고속국도(재정),451
멧돼지,2021-07-06,고속국도(재정),55
고라니,2021-07-06,고속국도(재정),300
고라니,2021-07-06,고속국도(재정),55
고라니,2021-07-08,고속국도(재정),55
개,2021-07-09,고속국도(재정),50
고라니,2021-07-09,고속국도(재정),15
고라니,2021-07-09,고속국도(재정),12
고라니,2021-07-10,고속국도(재정),50
고라니,2021-07-11,고속국도(재정),50
고라니,2021-07-11,고속국도(재정),15
고라니,2021-07-11,고속국도(재정),45
고라니,2021-07-11,고속국도(재정),55
고라니,2021-07-11,고속국도(재정),251
고라니,2021-07-12,고속국도(재정),10
고라니,2021-07-12,고속국도(재정),30
고라니,2021-07-13,고속국도(재정),55
고라니,2021-07-14,고속국도(재정),35
고라니,2021-07-15,고속국도(재정),35
고라니,2021-07-16,고속국도(재정),555
고라니,2021-07-16,고속국도(재정),55
고라니,2021-07-16,고속국도(재정),15
고라니,2021-07-17,고속국도(재정),30
고라니,2021-07-17,고속국도(재정),35
노루,2021-07-18,고속국도(재정),55
고라니,2021-07-18,고속국도(재정),35
고라니,2021-07-19,고속국도(재정),35
