이정,X좌표값,Y좌표값
17.5,34.99094898,128.3623911
17.6,34.99180828,128.3620614
17.7,34.99268259,128.3617955
17.8,34.99355988,128.3615442
17.9,34.99443303,128.3612726
18.0,34.995296,128.3609569
18.1,34.99614502,128.3605895
18.2,34.99697769,128.3601705
18.3,34.99779211,128.3597015
18.4,34.99858627,128.3591838
18.5,34.99935824,128.3586186
18.6,35.00010593,128.3580071
18.7,35.0008276,128.3573511
18.8,35.00152137,128.356652
18.9,35.00218737,128.3559141
19.0,35.00284265,128.355162
19.1,35.00349402,128.3544048
19.2,35.00414539,128.3536477
19.3,35.00479676,128.3528905
19.4,35.00544812,128.3521334
19.5,35.0060995,128.3513762
19.6,35.00675086,128.350619
19.7,35.00740222,128.3498618
19.8,35.00805357,128.3491046
19.9,35.00870492,128.3483474
20.0,35.00935444,128.3475879
20.1,35.00999264,128.3468144
20.2,35.01061468,128.3460216
20.3,35.01122129,128.3452114
20.4,35.01180892,128.3443807
20.5,35.01238084,128.3435341
20.6,35.01293744,128.3426724
20.7,35.01349139,128.3418081
20.8,35.01404528,128.3409439
20.9,35.01459929,128.3400797
21.0,35.0151534,128.3392156
21.1,35.0157075,128.3383515
21.2,35.0162616,128.3374873
21.3,35.01681569,128.3366232
21.4,35.01736977,128.3357591
21.5,35.01792385,128.3348949
21.6,35.01847792,128.3340307
21.7,35.01903198,128.3331666
21.8,35.01958604,128.3323024
21.9,35.02013894,128.3314371
22.0,35.02067481,128.3305563
22.1,35.02115832,128.3296321
22.2,35.02156497,128.3286548
22.3,35.02188944,128.3276331
22.4,35.02212856,128.3265771
22.5,35.02227954,128.3254974
22.6,35.02234518,128.3244049
22.7,35.02231535,128.32331
22.8,35.02219825,128.3222239
22.9,35.02202788,128.3211479
23.0,35.02184221,128.3200755
23.1,35.02167477,128.3189988
23.2,35.02155501,128.317913
23.3,35.02150345,128.3168194
23.4,35.02152063,128.315724
23.5,35.02160719,128.3146336
23.6,35.0217623,128.3135543
23.7,35.02198493,128.3124927
23.8,35.02227452,128.3114553
23.9,35.0226283,128.3104476
24.0,35.02304521,128.3094763
24.1,35.02352752,128.3085361
24.2,35.02406888,128.3076447
24.3,35.02466548,128.306807
24.4,35.02531388,128.3060283
24.5,35.02600915,128.3053117
24.6,35.0267255,128.3046468
24.7,35.02744645,128.3039892
24.8,35.02815933,128.3033188
24.9,35.02885802,128.3026267
25.0,35.02953645,128.3019054
25.1,35.03019558,128.3011581
25.2,35.03083282,128.3003833
25.3,35.03144884,128.2995835
25.4,35.03204313,128.2987597
25.5,35.03261392,128.2979117
25.6,35.03316093,128.2970408
25.7,35.03369556,128.2961586
25.8,35.03422992,128.2952761
25.9,35.03476427,128.2943937
26.0,35.03529861,128.2935112
26.1,35.03583295,128.2926287
26.2,35.03636728,128.2917461
26.3,35.03690992,128.2908722
26.4,35.03746608,128.2900094
26.5,35.03803804,128.2891683
26.6,35.03862119,128.2883308
26.7,35.03918701,128.2874676
26.8,35.03972982,128.2865857
26.9,35.04026453,128.2857024
27.0,35.04079922,128.2848191
27.1,35.04133391,128.2839358
27.2,35.0418686,128.2830525
27.3,35.04240327,128.2821692
27.4,35.04293794,128.2812858
27.5,35.04347261,128.2804025
27.6,35.04400727,128.2795191
27.7,35.04454105,128.2786334
27.8,35.0450694,128.2777378
27.9,35.04557256,128.2768201
28.0,35.04605355,128.2758947
28.1,35.04655265,128.2749852
28.2,35.04705239,128.2740932
28.3,35.04758705,128.2732101
28.4,35.04812165,128.2723266
28.5,35.04865625,128.2714431
28.6,35.04919062,128.2705594
28.7,35.04972405,128.2696749
28.8,35.0502444,128.268779
28.9,35.05073577,128.2678592
29.0,35.05118914,128.2669111
29.1,35.05160334,128.2659368
29.2,35.0519766,128.2649383
29.3,35.05230813,128.2639183
29.4,35.05259884,128.26288
29.5,35.05285745,128.2618292
29.6,35.05309439,128.2607717
29.7,35.05332207,128.2597111
29.8,35.05354855,128.2586502
29.9,35.0537972,128.2575978
30.0,35.05409106,128.2565633
30.1,35.05441181,128.255543
30.2,35.05477265,128.2545446
30.3,35.05517321,128.2535704
30.4,35.05560865,128.2526174
30.5,35.05609125,128.2517031
30.6,35.05660447,128.2508152
30.7,35.05715355,128.2499604
30.8,35.05772636,128.2491197
30.9,35.05831295,128.2482876
31.0,35.05889974,128.2474556
31.1,35.05948653,128.2466236
31.2,35.06007331,128.2457915
31.3,35.06066008,128.2449595
31.4,35.06124686,128.2441274
31.5,35.06183362,128.2432953
31.6,35.06242038,128.2424632
31.7,35.06300713,128.2416311
31.8,35.06359388,128.240799
31.9,35.06418063,128.2399669
32.0,35.06476736,128.2391348
32.1,35.06535409,128.2383026
32.2,35.06594082,128.2374704
32.3,35.06652754,128.2366383
32.4,35.06711425,128.2358061
32.5,35.06770096,128.2349739
32.6,35.06828766,128.2341417
32.7,35.06886909,128.2332955
32.8,35.0694292,128.2324256
32.9,35.06996519,128.2315335
33.0,35.07047735,128.2306181
33.1,35.07096095,128.229691
33.2,35.07142227,128.2287349
33.3,35.07185597,128.2277646
33.4,35.07226101,128.226781
33.5,35.07264014,128.2257774
33.6,35.07299162,128.224759
33.7,35.07331541,128.2237276
33.8,35.07361005,128.2226828
33.9,35.07387652,128.221626
34.0,35.07411385,128.22056
34.1,35.0743219,128.2194849
34.2,35.07450042,128.2184019
34.3,35.07464802,128.2173142
34.4,35.0747667,128.2162199
34.5,35.07485514,128.2151204
34.6,35.07491404,128.2140195
34.7,35.07494819,128.212924
34.8,35.07497981,128.2118297
34.9,35.07501142,128.210735
35.0,35.07504247,128.2096399
35.1,35.07506825,128.2085447
35.2,35.07509402,128.2074495
35.3,35.07512639,128.2063539
35.4,35.07518086,128.2052597
35.5,35.07528268,128.2041705
35.6,35.07545415,128.2030945
35.7,35.07569851,128.2020396
35.8,35.07601404,128.201013
35.9,35.07639858,128.2000218
36.0,35.07684977,128.199073
36.1,35.07736417,128.1981732
36.2,35.07793346,128.1973234
36.3,35.07853664,128.1965088
36.4,35.07915309,128.195709
36.5,35.07977051,128.1949102
36.6,35.08038793,128.1941114
36.7,35.08100534,128.1933127
36.8,35.08162274,128.1925139
36.9,35.08224015,128.1917151
37.0,35.08285754,128.1909163
37.1,35.08347493,128.1901174
37.2,35.08409232,128.1893186
37.3,35.0847097,128.1885197
37.4,35.08532707,128.1877209
37.5,35.08594444,128.186922
37.6,35.08656181,128.1861231
37.7,35.08717916,128.1853242
37.8,35.08779486,128.1845234
37.9,35.08838637,128.1836963
38.0,35.08892431,128.1828169
38.1,35.08939979,128.1818858
38.2,35.08981005,128.1809098
38.3,35.09015226,128.1798957
38.4,35.09042859,128.1788522
38.5,35.09067153,128.1777963
38.6,35.09091317,128.1767329
38.7,35.0911548,128.1756695
38.8,35.09139873,128.1746069
38.9,35.09165979,128.1735504
39.0,35.09195649,128.1725079
